# Mechanical evidence only: generated from the default-disabled SM-2 link log after original-owner and C-VID closure.
# symbol<TAB>cmake_object_target<TAB>referencing_source
__declspec(dllimport) __sys_errlist
_MouseInFocus	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseOutOfFocus	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseSystemMenuOFF	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseSystemMenuON	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_nt_init_event_thread	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_nt_mark_screen_refresh	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_os_pointer_data	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_ReadConsoleInputExW@20	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_ResetConsoleState	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_ResetMouseOnBlock	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_savedScreenState	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_SetConsoleDisplayMode	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_SetupConsoleMode	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_ShowConsoleCursor@8	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_StreamIoSwitchOn	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_TlsDirectError	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_VDDBlockUserHook	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_VDDResumeUserHook	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_VDMConsoleOperation@8	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_WriteConsoleInputVDMW@16	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
__sys_errlist	ntdos64-opennt-host-idle-lifecycle-objects	base\mvdm\softpc.new\host\src\nt_unix.c.obj
__sys_nerr	ntdos64-opennt-host-idle-lifecycle-objects	base\mvdm\softpc.new\host\src\nt_unix.c.obj
_host_alarm	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\keybd_io.c.obj
_host_os_mouse_pointer	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
_host_x_range	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
_host_y_range	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
_ResumeMouseInterrupts	ntdos64-opennt-keymouse-provider-objects	base\mvdm\softpc.new\base\keymouse\mouse_io.c.obj
