"disposition_id"	"call_id"	"caller_path"	"caller_package"	"caller_line"	"lexical_callee"	"declaration_id"	"declaration_path"	"declaration_package"	"disposition"	"selected_definition_ids"	"owner"	"recovery_state"	"evidence"
"MVDM-BOUNDARY-00036"	"MVDM-CALL-001890"	"dos/command/cmdmisc.c"	"dos"	"181"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:181; inc/softpc.h:132"
"MVDM-BOUNDARY-00037"	"MVDM-CALL-001893"	"dos/command/cmdmisc.c"	"dos"	"198"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:198; inc/softpc.h:132"
"MVDM-BOUNDARY-00038"	"MVDM-CALL-001896"	"dos/command/cmdmisc.c"	"dos"	"203"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:203; inc/softpc.h:132"
"MVDM-BOUNDARY-00039"	"MVDM-CALL-001902"	"dos/command/cmdmisc.c"	"dos"	"220"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:220; inc/softpc.h:132"
"MVDM-BOUNDARY-00040"	"MVDM-CALL-001903"	"dos/command/cmdmisc.c"	"dos"	"228"	"nt_resume_event_thread"	"MVDM-DECL-00245"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09144;MVDM-DEF-10140"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:228; inc/softpc.h:37"
"MVDM-BOUNDARY-00041"	"MVDM-CALL-001940"	"dos/command/cmdmisc.c"	"dos"	"379"	"host_lpt_flush_initialize"	"MVDM-DECL-00250"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09326"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:379; inc/softpc.h:49"
"MVDM-BOUNDARY-00042"	"MVDM-CALL-001947"	"dos/command/cmdmisc.c"	"dos"	"412"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:412; inc/softpc.h:132"
"MVDM-BOUNDARY-00043"	"MVDM-CALL-001959"	"dos/command/cmdmisc.c"	"dos"	"467"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:467; inc/softpc.h:132"
"MVDM-BOUNDARY-00044"	"MVDM-CALL-002039"	"dos/command/cmdmisc.c"	"dos"	"789"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:789; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00045"	"MVDM-CALL-002121"	"dos/command/cmdredir.c"	"dos"	"110"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:110; softpc.new/base/inc/standard.h:83"
