canonical_group_id	canonical_group_key	canonical_symbol	grouping_scope	group_kind	raw_identity_count	macro_generated_identity_count	raw_definition_ids	source_identities	dispositions
"MVDM-ZERO-CANONICAL-GROUP-007272"	"linkable:OpenPhysicalDrive"	"OpenPhysicalDrive"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009856"	"vdd/samples/mscdex/vdd/vcdex.c:1444"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007273"	"linkable:OpenWaveDevice"	"OpenWaveDevice"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009897"	"vdd/samples/vsbd/vdd.c:1145"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007274"	"linkable:OpFpuRestoreFpuState"	"OpFpuRestoreFpuState"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001083"	"softpc.new/base/ccpu386/fpu.c:3539"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007275"	"linkable:OpFpuStoreFpuState"	"OpFpuStoreFpuState"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001082"	"softpc.new/base/ccpu386/fpu.c:3466"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007276"	"linkable:OR"	"OR"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001260"	"softpc.new/base/ccpu386/or.c:41"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007277"	"linkable:OrderedSequencePrint"	"OrderedSequencePrint"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-006900"	"softpc.new/base/debug/profile.c:2937"	"tool-only"
"MVDM-ZERO-CANONICAL-GROUP-007278"	"linkable:OUT16"	"OUT16"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001262"	"softpc.new/base/ccpu386/out.c:61"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007279"	"linkable:OUT32"	"OUT32"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001263"	"softpc.new/base/ccpu386/out.c:76"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007280"	"linkable:OUT8"	"OUT8"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001261"	"softpc.new/base/ccpu386/out.c:44"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007281"	"linkable:outb"	"outb"	"linkable-original-symbol-family"	"product-or-conditional-variant-family"	"2"	"0"	"MVDM-ZERO-DEFINITION-007455;MVDM-ZERO-DEFINITION-009819"	"softpc.new/base/support/ios.c:508;v86/scaffold/i386/stubs.c:25"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007282"	"linkable:outd"	"outd"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-007459"	"softpc.new/base/support/ios.c:661"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007283"	"linkable:outputHigh"	"outputHigh"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-007689"	"softpc.new/base/system/timer.c:1262"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007284"	"linkable:outputLow"	"outputLow"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-007688"	"softpc.new/base/system/timer.c:1252"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007285"	"linkable:OutputString"	"OutputString"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-008169"	"softpc.new/host/src/fprt.c:30"	"adapter-backed"
