symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"CreateQ"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"38"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DestroyQ"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"66"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"Addqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"86"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"Deleteqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"124"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"Findqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"164"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"PutData"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/hdata.c"	"ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8"	"13"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"AttemptWrite"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/gdi/metarec.c"	"b7e60597669551b22e69d072c95414df1398211be863292ce82a9293fd99f0de"	"242"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"IsMetaDC"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/gdi/metasup.c"	"3b90e8622c1263ccfd8a59f7f814b03d68c7074fa7c10bd9fe425d31cd0fede5"	"263"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"FlushMapFileCaches"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"712"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"NormalizeDosPath"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"1001"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"TruncatePath83"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"1091"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
