symbol	source_root	source_path	source_sha256	source_line	definition_form
"Findqi"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"164"	"k-and-r-body"
"Findqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"164"	"k-and-r-body"
"FlushMapFileCaches"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"712"	"ansi-body"
"FlushMapFileCaches"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"712"	"ansi-body"
"FreeHsz"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"32"	"k-and-r-body"
"FreeHsz"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"32"	"k-and-r-body"
"GetFaxDataMapName"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"inc/wowfax.h"	"97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84"	"284"	"ansi-body"
"GetFaxDataMapName"	"O:\repos.external\OpenNT\base\mvdm"	"inc/wowfax.h"	"97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84"	"284"	"ansi-body"
"GetMediaId"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"619"	"ctags-function-body"
"GetMediaId"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"619"	"ctags-function-body"
"high_stretch3"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1401"	"ctags-function-body"
"high_stretch3"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1401"	"ctags-function-body"
"high_stretch4"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1422"	"ctags-function-body"
"high_stretch4"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1422"	"ctags-function-body"
"host_fdisk_change"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"121"	"ansi-body"
"host_fdisk_change"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"121"	"ansi-body"
"host_find_file"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_unix.c"	"f2ab1f40420a0928884cf524305a9b87b8c65b0c3440ab97367aa1cbce6417a7"	"370"	"ctags-function-body"
"host_find_file"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_unix.c"	"f2ab1f40420a0928884cf524305a9b87b8c65b0c3440ab97367aa1cbce6417a7"	"370"	"ctags-function-body"
"host_flpy_heart_beat"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"509"	"ansi-body"
"host_flpy_heart_beat"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"509"	"ansi-body"
"host_using_fdisk"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"100"	"ansi-body"
"host_using_fdisk"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"100"	"ansi-body"
"HostFdiskReset"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"589"	"ctags-function-body"
"HostFdiskReset"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"589"	"ctags-function-body"
"HostFloppyReset"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"857"	"ansi-body"
"HostFloppyReset"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"857"	"ansi-body"
"IncHszCount"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"50"	"ctags-function-body"
"IncHszCount"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"50"	"ctags-function-body"
"InitializeEventHandler"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"vdmredir/vrdlcpst.c"	"ea7ce5c516434bd5b08fddd53881705385f3d925388ff4e439b337faa388cf01"	"2996"	"ctags-function-body"
"InitializeEventHandler"	"O:\repos.external\OpenNT\base\mvdm"	"vdmredir/vrdlcpst.c"	"ea7ce5c516434bd5b08fddd53881705385f3d925388ff4e439b337faa388cf01"	"2996"	"ctags-function-body"
"NewLstItem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"206"	"k-and-r-body"
"NewLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"206"	"k-and-r-body"
"NormalizeDosPath"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"1001"	"ctags-function-body"
"NormalizeDosPath"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"1001"	"ctags-function-body"
"nt_fdisk_init"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"269"	"ctags-function-body"
"nt_fdisk_init"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"269"	"ctags-function-body"
"nt_floppy_close"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"878"	"ansi-body"
"nt_floppy_close"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"878"	"ansi-body"
"nt_floppy_format"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"742"	"ctags-function-body"
"nt_floppy_format"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"742"	"ctags-function-body"
