"worklist_id"	"declaration_id"	"lexical_name"	"declaration_path"	"declaration_package"	"review_family"	"caller_count"	"caller_packages"	"caller_evidence"	"final_owner"	"recovery_state"	"evidence"
"MVDM-WORK-00035"	"MVDM-DECL-03464"	"host_alarm"	"softpc.new/host/inc/host.h"	"softpc.new"	"adapter-softpc-review"	"5"	"softpc.new"	"softpc.new/base/keymouse/keybd_io.c:666; softpc.new/host/inc/host.h:38; softpc.new/base/keymouse/keybd_io.c:675; softpc.new/host/inc/host.h:38; softpc.new/base/keymouse/keybd_io.c:2126; softpc.new/host/inc/host.h:38; softpc.new/host/src/nt_sound.c:68; softpc.new/host/inc/host.h:38; softpc.new/host/src/nt_sound.c:86; softpc.new/host/inc/host.h:38"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host.h:38"
"MVDM-WORK-00036"	"MVDM-DECL-03606"	"do_setSF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1052; softpc.new/host/inc/host_cpu.h:484; softpc.new/host/src/nt_cprgs.c:1583; softpc.new/host/inc/host_cpu.h:484"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:484"
"MVDM-WORK-00037"	"MVDM-DECL-03607"	"do_setOF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1053; softpc.new/host/inc/host_cpu.h:485; softpc.new/host/src/nt_cprgs.c:1601; softpc.new/host/inc/host_cpu.h:485"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:485"
"MVDM-WORK-00038"	"MVDM-DECL-03608"	"do_setPF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1054; softpc.new/host/inc/host_cpu.h:486; softpc.new/host/src/nt_cprgs.c:1560; softpc.new/host/inc/host_cpu.h:486"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:486"
"MVDM-WORK-00039"	"MVDM-DECL-03609"	"do_setZF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1055; softpc.new/host/inc/host_cpu.h:487; softpc.new/host/src/nt_cprgs.c:1592; softpc.new/host/inc/host_cpu.h:487"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:487"
"MVDM-WORK-00040"	"MVDM-DECL-03610"	"do_setCF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1056; softpc.new/host/inc/host_cpu.h:488; softpc.new/host/src/nt_cprgs.c:1610; softpc.new/host/inc/host_cpu.h:488"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:488"
"MVDM-WORK-00041"	"MVDM-DECL-04482"	"nt_init_text"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_cga.c:91; softpc.new/host/inc/nt_graph.h:272"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:272"
"MVDM-WORK-00042"	"MVDM-DECL-04487"	"nt_cga_mono_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_cga.c:405; softpc.new/host/inc/nt_graph.h:277"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:277"
"MVDM-WORK-00043"	"MVDM-DECL-04501"	"nt_ega_lo_graph_std"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:576; softpc.new/host/inc/nt_graph.h:301; softpc.new/host/src/nt_ega.c:609; softpc.new/host/inc/nt_graph.h:301"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:301"
"MVDM-WORK-00044"	"MVDM-DECL-04502"	"nt_ega_lo_graph_big"	"softpc.new/host/inc/nt_graph.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_ega.c:699; softpc.new/host/inc/nt_graph.h:303; softpc.new/host/src/nt_ega.c:733; softpc.new/host/inc/nt_graph.h:303"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_graph.h:303"
