"caller_path"	"source_line"	"symbol"	"raw_context"	"stage1_state"	"next_stage"
"bde/bdeheap.c"	"296"	"PRINTF"	"PRINTF("" %.4X"", he.gnode.pga_owner);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"297"	"PRINTF"	"PRINTF("" %.2X"", he.gnode.pga_flags);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"298"	"PRINTF"	"PRINTF(""  %8s"", he.OwnerName);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"300"	"GetInfoFromSelector"	"GetInfoFromSelector((WORD)(he.gnode.pga_handle | 1), PROT_MODE, &si);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"302"	"PRINTF"	"PRINTF("" %s"", si.bCode ? ""Code"" : ""Data"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"305"	"PRINTF"	"PRINTF(""    %d"", he.SegmentNumber);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"307"	"PRINTF"	"PRINTF(""\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"3"	"Copyright"	"Copyright (c) 1990  Microsoft Corporation"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"15"	"Day"	"Bob Day      (bobday) 29-Feb-1992 Grabbed standard header"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"26"	"DumpMemory"	"DumpMemory("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"42"	"GetContext"	"mode = GetContext( &ThreadContext );"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"44"	"GetNextToken"	"if (!GetNextToken()) {"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"45"	"PRINTF"	"PRINTF(""Please specify an address\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"49"	"ParseIntelAddress"	"if (!ParseIntelAddress(&mode, &selector, &offset)) {"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"53"	"GetNextToken"	"if (GetNextToken()) {"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"57"	"EXPRESSION"	"lines = (EXPRESSION(lpArgumentString)*DumpType+15)/16;"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"60"	"GetInfoFromSelector"	"base = GetInfoFromSelector(selector, mode, NULL) + GetIntelBase();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"60"	"GetIntelBase"	"base = GetInfoFromSelector(selector, mode, NULL) + GetIntelBase();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"64"	"PRINTF"	"PRINTF(""%04x:%08lx "", selector, offset);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"66"	"PRINTF"	"PRINTF(""%04x:%04x "", selector, LOWORD(offset));"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"66"	"LOWORD"	"PRINTF(""%04x:%04x "", selector, LOWORD(offset));"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"74"	"PRINTF"	"PRINTF(""-"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"76"	"PRINTF"	"PRINTF("" "");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"78"	"PRINTF"	"PRINTF(""%02x"", ReadByteSafe(base+offset+j));"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdemisc.c"	"78"	"ReadByteSafe"	"PRINTF(""%02x"", ReadByteSafe(base+offset+j));"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
