caller_identity	caller_source_path	call_source_line	callee_spelling	selected_definition_identity	call_argument_count	definition_argument_count	header_argument_counts	target_package_in_caller_frontier	shape_basis	next_disposition
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgq.c|254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b|86"	"wow16/ddeml/dmgq.c"	"91"	"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|430"	"2"	"2"	"2"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgq.c|254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b|38"	"wow16/ddeml/dmgq.c"	"48"	"DmgCreateHeap"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|337"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgq.c|254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b|38"	"wow16/ddeml/dmgq.c"	"50"	"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|430"	"2"	"2"	"2"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgq.c|254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b|38"	"wow16/ddeml/dmgq.c"	"51"	"DmgDestroyHeap"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|367"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgq.c|254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b|66"	"wow16/ddeml/dmgq.c"	"70"	"DmgDestroyHeap"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|367"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/gdi/metarec.c|b7e60597669551b22e69d072c95414df1398211be863292ce82a9293fd99f0de|242"	"wow16/gdi/metarec.c"	"267"	"IsMetaDC"	"O:\repos.external\OpenNT\base\mvdm|wow16/gdi/metasup.c|3b90e8622c1263ccfd8a59f7f814b03d68c7074fa7c10bd9fe425d31cd0fede5|263"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow32/wkfileio.c|3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad|1001"	"wow32/wkfileio.c"	"1032"	"SetLastError"	"O:\repos.external\OpenNT\base\mvdm|wow16/wfwnet/wfwnet.c|2e46bb1d5b9c3791a70a21b0fc9b053b63748814988665fcabe13792543e6942|714"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|wow32/wkfileio.c|3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad|1001"	"wow32/wkfileio.c"	"1044"	"VrConvertLocalNtPipeName"	"O:\repos.external\OpenNT\base\mvdm|vdmredir/vrnmpipe.c|fbb09851b3b1174e37b8cfa49f67b9667bea4262ad5e60cc9fb1d0917bf60e40|2898"	"2"	"2"	"2"	"false"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|wow32/wkfileio.c|3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad|1001"	"wow32/wkfileio.c"	"1046"	"SetLastError"	"O:\repos.external\OpenNT\base\mvdm|wow16/wfwnet/wfwnet.c|2e46bb1d5b9c3791a70a21b0fc9b053b63748814988665fcabe13792543e6942|714"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|wow32/wkfileio.c|3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad|1001"	"wow32/wkfileio.c"	"1061"	"SetLastError"	"O:\repos.external\OpenNT\base\mvdm|wow16/wfwnet/wfwnet.c|2e46bb1d5b9c3791a70a21b0fc9b053b63748814988665fcabe13792543e6942|714"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
