canonical_definition_id	raw_definition_id	source_path	source_sha256	source_line	linkage	raw_symbol	canonical_symbol	name_resolution	macro_definition_spelling	source_line_evidence	canonical_group_key	final_function_disposition	leaf_status
"MVDM-ZERO-CANONICAL-DEFINITION-001347"	"MVDM-ZERO-DEFINITION-001347"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"173"	"external-or-unspecified"	"getVideofwd_str_read_addr"	"getVideofwd_str_read_addr"	"raw-ctags-symbol"	""	"GLOBAL IUH * getVideofwd_str_read_addr getVideofwd_str_read_addr()"	"linkable:getVideofwd_str_read_addr"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001348"	"MVDM-ZERO-DEFINITION-001348"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"179"	"external-or-unspecified"	"setVideobwd_str_read_addr"	"setVideobwd_str_read_addr"	"raw-ctags-symbol"	""	"GLOBAL void setVideobwd_str_read_addr setVideobwd_str_read_addr(IUH *,value)"	"linkable:setVideobwd_str_read_addr"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001349"	"MVDM-ZERO-DEFINITION-001349"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"184"	"external-or-unspecified"	"getVideobwd_str_read_addr"	"getVideobwd_str_read_addr"	"raw-ctags-symbol"	""	"GLOBAL IUH * getVideobwd_str_read_addr getVideobwd_str_read_addr()"	"linkable:getVideobwd_str_read_addr"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001350"	"MVDM-ZERO-DEFINITION-001350"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"190"	"external-or-unspecified"	"setVideodirty_total"	"setVideodirty_total"	"raw-ctags-symbol"	""	"GLOBAL void setVideodirty_total setVideodirty_total(IU32,value)"	"linkable:setVideodirty_total"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001351"	"MVDM-ZERO-DEFINITION-001351"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"195"	"external-or-unspecified"	"getVideodirty_total"	"getVideodirty_total"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideodirty_total getVideodirty_total()"	"linkable:getVideodirty_total"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001352"	"MVDM-ZERO-DEFINITION-001352"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"201"	"external-or-unspecified"	"setVideodirty_low"	"setVideodirty_low"	"raw-ctags-symbol"	""	"GLOBAL void setVideodirty_low setVideodirty_low(IS32,value)"	"linkable:setVideodirty_low"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001353"	"MVDM-ZERO-DEFINITION-001353"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"206"	"external-or-unspecified"	"getVideodirty_low"	"getVideodirty_low"	"raw-ctags-symbol"	""	"GLOBAL IS32 getVideodirty_low getVideodirty_low()"	"linkable:getVideodirty_low"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001354"	"MVDM-ZERO-DEFINITION-001354"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"212"	"external-or-unspecified"	"setVideodirty_high"	"setVideodirty_high"	"raw-ctags-symbol"	""	"GLOBAL void setVideodirty_high setVideodirty_high(IS32,value)"	"linkable:setVideodirty_high"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001355"	"MVDM-ZERO-DEFINITION-001355"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"217"	"external-or-unspecified"	"getVideodirty_high"	"getVideodirty_high"	"raw-ctags-symbol"	""	"GLOBAL IS32 getVideodirty_high getVideodirty_high()"	"linkable:getVideodirty_high"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001356"	"MVDM-ZERO-DEFINITION-001356"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"223"	"external-or-unspecified"	"setVideovideo_copy"	"setVideovideo_copy"	"raw-ctags-symbol"	""	"GLOBAL void setVideovideo_copy setVideovideo_copy(IU8 *,value)"	"linkable:setVideovideo_copy"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001357"	"MVDM-ZERO-DEFINITION-001357"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"228"	"external-or-unspecified"	"getVideovideo_copy"	"getVideovideo_copy"	"raw-ctags-symbol"	""	"GLOBAL IU8 * getVideovideo_copy getVideovideo_copy()"	"linkable:getVideovideo_copy"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001358"	"MVDM-ZERO-DEFINITION-001358"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"234"	"external-or-unspecified"	"setVideomark_byte"	"setVideomark_byte"	"raw-ctags-symbol"	""	"GLOBAL void setVideomark_byte setVideomark_byte(IUH *,value)"	"linkable:setVideomark_byte"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001359"	"MVDM-ZERO-DEFINITION-001359"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"239"	"external-or-unspecified"	"getVideomark_byte"	"getVideomark_byte"	"raw-ctags-symbol"	""	"GLOBAL IUH * getVideomark_byte getVideomark_byte()"	"linkable:getVideomark_byte"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001360"	"MVDM-ZERO-DEFINITION-001360"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"245"	"external-or-unspecified"	"setVideomark_word"	"setVideomark_word"	"raw-ctags-symbol"	""	"GLOBAL void setVideomark_word setVideomark_word(IUH *,value)"	"linkable:setVideomark_word"	"not-host-runtime"	"leaf"
