root	relative_path	size_bytes	sha256	file_class	source_series	final_disposition	staged_destination	provenance_reference
build-output	fonts/cga40869.fon	3689	e591d52af2b5d6fde8dfd7bba0ce17d88fad8b074c9adeddd6745a1dedca8779	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga80737.fon	3075	a4fdc16ee91e64484a26a3401772c3311c506b55c8b49a2cddf77393b679d6b5	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga80852.fon	3113	0a4603adf2f1963d6b8dcfb87693a9dabfd73ee399c71b3ee088500baa68363a	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga80857.fon	2745	66bb0ea0706867d0b6d88676c9b286211b7b13c955b4c38fe6c53d41680722b5	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga80866.fon	3097	62bf8f0faf2eb756308ff5bfd35d386b36c57c04972fc4fa4f028091e15f2e5c	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga80869.fon	3111	a1f1c479b7476bf5de8a0625503a4ed9bd93b6de594b9bbd91dc6f167cd61410	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/dos737.fon	15892	db45dee073fd4e9ea808b23066923ee7234f201213fc8b971e548acc4eb3ab28	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/dos869.fon	16369	7a02637c46fdbcd37ae45ffac1bb4e64e211ea7d35d706f764ca90f363554548	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega40737.fon	3943	2193751df9e228eefe7b45e203940384e06d1b2f46fa50bf3922f9ec99dc8e4c	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega40852.fon	4013	224ed3deb909fddcc8f62730734989f3c957dd116d9ef8fcbb1e1454fa7e2aed	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega40857.fon	3693	0a17519ac31c85d6a30764d84a6987d08e670bc64774a55cd70c21670a0c6020	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega40866.fon	4091	4c19e883916a50dd9b8b88cb16695e4a0c0e8b5b59e83e561c03f0bf747e4e63	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega40869.fon	3943	2193751df9e228eefe7b45e203940384e06d1b2f46fa50bf3922f9ec99dc8e4c	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega80737.fon	3320	577c24b715c88a32240e0af91ad32755f589e9f274f7736aac6056cb11f495e1	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega80852.fon	3234	4cfdd7f22001f4cace10776ac2110d800e31c5a2c23737d78b46b9cfe1d86fad	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega80857.fon	2914	49e22e1c3bc9edf2026afbea5ee7b8a2cb4baf1d5b2424d2ff92c8d26fadf26e	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega80866.fon	3262	f0cafc12600590e3ae2b92dd4ab3286ad8bab6d8c6f254c3d8b11ec6367c86b9	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/ega80869.fon	3355	ef744037ab220fdc2b11a9f65a985cc9d6131e0a0f28ff346a7f0eda7a0bcb0a	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/sserifee.fon	22096	061b1ea239e3e29408a7d3bc8d6b0275b501cb8432755c8523f9647ddd4237ee	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/sserifeg.fon	22080	a26dc4fc50c9b2bed73a07ed98e4ddcd26fe90395fff5baa733d4103968dd5d9	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/sserifer.fon	23420	183c9c62353f3af6f2d40ec8ebcb8e4ed159cf2a31bc1cfb084b8f013db16f5f	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/sserifet.fon	21406	e5a7dd835a05a5296947f0e0d36d0401b632a40238b18ac3794b3b8f488beecb	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vga737.fon	3170	e36fcd5763aff69021177a3fad66ba7b79ee889e888967bdc2fa7b6845ec4b3b	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vga852.fon	3317	c0a2e36b551c8c342c22406f4e4edda5b3bda9cab17b35ca40a73df078037ecd	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
