"definition_id"	"file_id"	"definition_path"	"package_root"	"source_line"	"lexical_name"	"provenance"	"evidence"
"MVDM-DEF-00094"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1980"	"DDSreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1980"
"MVDM-DEF-00095"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1987"	"DSSreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1987"
"MVDM-DEF-00096"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1994"	"DESreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1994"
"MVDM-DEF-00097"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2001"	"DFSreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2001"
"MVDM-DEF-00098"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2008"	"DGSreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2008"
"MVDM-DEF-00099"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2015"	"DImmB"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2015"
"MVDM-DEF-00100"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2023"	"DImmBEnter"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2023"
"MVDM-DEF-00101"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2031"	"DImmBS"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2031"
"MVDM-DEF-00102"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2041"	"DImmW"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2041"
"MVDM-DEF-00103"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2058"	"DImmW1"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2058"
"MVDM-DEF-00104"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2066"	"DjmpB"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2066"
"MVDM-DEF-00105"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2075"	"DjmpW"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2075"
"MVDM-DEF-00106"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2084"	"DregSeg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2084"
"MVDM-DEF-00107"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"2094"	"DmemB"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:2094"
