table	instance	slot	typed_return	typed_arity	typed_parameters	source_symbol	generated_definition	disposition
"VideoVector"	"C_Video"	"47"	"void"	"1"	"IU32, value"	"S_0410_CiSetVideolatch_xor_mask_0000002f"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"48"	"void"	"1"	"IU32, value"	"S_0411_CiSetVideobit_prot_mask_00000030"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"49"	"void"	"1"	"IU32, value"	"S_0412_CiSetVideoplane_enable_00000031"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"50"	"void"	"1"	"IU32, value"	"S_0413_CiSetVideoplane_enable_mask_00000032"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"51"	"void"	"1"	"IHP, value"	"S_0414_CiSetVideosr_lookup_00000033"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"52"	"void"	"1"	"IHP, value"	"S_0415_CiSetVideofwd_str_read_addr_00000034"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"53"	"void"	"1"	"IHP, value"	"S_0416_CiSetVideobwd_str_read_addr_00000035"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"54"	"void"	"1"	"IU32, value"	"S_0417_CiSetVideodirty_total_00000036"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"55"	"void"	"1"	"IU32, value"	"S_0418_CiSetVideodirty_low_00000037"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"56"	"void"	"1"	"IU32, value"	"S_0419_CiSetVideodirty_high_00000038"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"57"	"void"	"1"	"IU8 *, value"	"S_0420_CiSetVideovideo_copy_00000039"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"58"	"void"	"1"	"IHP, value"	"S_0421_CiSetVideomark_byte_0000003a"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"59"	"void"	"1"	"IHP, value"	"S_0422_CiSetVideomark_word_0000003b"	"sinit013.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
