"target_path"	"source_path"	"source_sha256"	"size_bytes"	"action"
"cmd/command/uinit.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\uinit.asm"	"69cf155b487039a7fcada5125e4ed99d1c41d4770a7869f77549c77e6df1420e"	"9881"	"already-identical"
"cmd/command/usa-ms/bldmsg.h"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\usa-ms\bldmsg.h"	"618b85a24adc69edd629ea1405da1debfe079760c7e808e53c3ee536e7d21f8c"	"332"	"already-identical"
"cmd/debug/debasm.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debasm.asm"	"cdae87037b92fd6f4b6a95839c41233d365f096b9dc1eea808f26186c62e62d8"	"25254"	"already-identical"
"cmd/debug/debcom1.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debcom1.asm"	"2a5c53ab19d26c9299771802b4d0db35742965524ad0f6872073772c18242649"	"24979"	"already-identical"
"cmd/debug/debcom2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debcom2.asm"	"f289151b51c3894544cc53e2ba51c5364c447656415ea809b4c93371469edce8"	"33990"	"already-identical"
"cmd/debug/debcom3.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debcom3.asm"	"ac0f3fc199b7406e1abcd97cd8880374ac138fd17897ade07069478fa9f1a65c"	"16678"	"already-identical"
"cmd/debug/debconst.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debconst.asm"	"f8f18fc5bc106840b5c9bdedfdadb4f3b5402b309113307d2f1ff4c8aff93714"	"29838"	"already-identical"
"cmd/debug/debdata.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debdata.asm"	"7828ae304d04de75982cd7598926bd73c420235298792db4ddabc547a7af1a65"	"7042"	"already-identical"
"cmd/debug/debems.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\debems.asm"	"f01ac13c275488727dfc8d6e7d01a6f05d33964678d368eef100e92a0f9c1f49"	"36905"	"already-identical"
"cmd/debug/deberr.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\debug\deberr.asm"	"805bc6b376eb281b5460ad1939817bbdb45084e2e281df9ef18d112ede1a2b38"	"4944"	"already-identical"
