symbol	source_root	source_path	source_sha256	source_line	linkage	source
"FindAddHsz"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"134"	"externally-linkable"	"P10 seed body"
"QueryHszName"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"101"	"externally-linkable"	"P10 seed body"
"QueryHszLength"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"78"	"externally-linkable"	"P10 seed body"
"Deleteqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"124"	"externally-linkable"	"P10 seed body"
"NewLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"206"	"externally-linkable"	"P10 seed body"
"RemoveLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"246"	"externally-linkable"	"P10 seed body"
"FindLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"140"	"externally-linkable"	"P10 seed body"
"Addqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"86"	"externally-linkable"	"P10 seed body"
"CreateQ"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"38"	"externally-linkable"	"P10 seed body"
"DestroyQ"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"66"	"externally-linkable"	"P10 seed body"
"AllocDDESel"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"156"	"externally-linkable"	"P10 seed body"
"AttemptWrite"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/gdi/metarec.c"	"b7e60597669551b22e69d072c95414df1398211be863292ce82a9293fd99f0de"	"242"	"externally-linkable"	"P10 seed body"
"NormalizeDosPath"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"1001"	"externally-linkable"	"P10 seed body"
"FlushMapFileCaches"	"O:\repos.external\OpenNT\base\mvdm"	"wow32/wkfileio.c"	"3437d0886ec49109668f09a46f5cf8b533ccfbd08f78ef441cbf71853482a8ad"	"712"	"externally-linkable"	"P10 seed body"
"GetVolumeInformationOem"	"O:\repos.external\OpenNT\base\mvdm"	"oemuni/file.c"	"a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df"	"847"	"externally-linkable"	"directly reached during P12 expansion"
"GetDiskFreeSpaceOem"	"O:\repos.external\OpenNT\base\mvdm"	"oemuni/file.c"	"a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df"	"797"	"externally-linkable"	"directly reached during P12 expansion"
"host_runtime_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/stf_conf.c"	"dd83e6774b349f81b02abb625df4fdcfe943647144bf054422f9f671d1bf05f4"	"274"	"externally-linkable"	"directly reached during P12 expansion"
